problem,category,solution
"الباب أو الشباك ""بيحك"" في الأرض أو الإطار ومش بيلف بسهولة",الأبواب والشبابيك,"ربط أو تعديل المفصلات: شد المفصلات السائبة بفك أو تغيير المسامير بأخرى أطول. إذا استمرت المشكلة، يُستخدم ""فأرة نجارة"" أو صندفرة لقشط الجزء الخشبي الزائد المحكوك."
الباب بيقفل بصوت خبط عالي وحاد (صدمة الباب): الباب بيكبد في الإطار وبيعمل دوشة.,الأبواب والشبابيك,تركيب شريط فوم/مطاط ذاتي اللصق على الداير الداخلي للإطار (البر)، بيمنع الصوت وبيسد أي تنفيس هواء أو تراب.
الباب بيزيّق أثناء الفتح والغلق,الأبواب والشبابيك,تشحيم وتزييت المفصلات: رش سبراي مزيل للصدأ وتزييت (مثل WD-40) أو وضع قطرات من زيت الماكينات على مفصلات الباب
كالون الباب (اللسان) مش بيدخل بسهولة في بيت الكالون,الأبواب والشبابيك,إعادة ضبط اللسان: تصنيج أو ضبط فتحة بيت الكالون في الإطار الخشبي باستعمال مبرد خشب أو توسيع مكان المفصلة قليلاً
مفصلة ضلفة الدولاب/المطبخ اتخلعت من الخشب نفسه (مكان المسامير اتوسع),الدواليب والمطابخ(ضلف وادراج),حشو مكان المسامير: خلط غراء خشب مع خافض لسان خشبي/أعواد خشبية (خِلة أسنان) وحشو الفتحة بها، تركها تنشف تماماً، ثم إعادة إدخال وربط المسمار من جديد
أدراج المطبخ أو الدولاب ثقيلة ومبتفتحش بسلاسة,الدواليب والمطابخ(ضلف وادراج),أدراج المطبخ أو الدولاب ثقيلة ومبتفتحش بسلاسة
انحناء/ترخيم شماعة الدولاب (الماسورة): الماسورة الخشب أو المعدن بتتثنى من النص بسبب ثقل الهدوم,الدواليب والمطابخ(ضلف وادراج),تركيب كابولي/حامل ماسورة إضافي في نص السقف بتاع الدولاب يمسك الماسورة من النص يمنع انحنائها.
الضلف مش مقفولة بانتظام أو متساقطة عن مستواها,الدواليب والمطابخ(ضلف وادراج),الضلف مش مقفولة بانتظام أو متساقطة عن مستواها
"رجول الكرسي أو الترابيزة ""بتلق"" وغير ثابته",الكراسي والترابيزات,إعادة التجميع والغراء: فك الوصلة المفككة، تنظيف الغراء القديم، وضع غراء خشب حديث (PVA)، ثم ضغط الجزء بمربط (Clamp) وربط زوايا معدنية (L-Brackets) خفية من الداخل للتدعيم
الترابيزة مهتزة بسبب عدم تساوي أطوال الأرجل,الكراسي والترابيزات,"صندفرة أو وضع قواعد لباد: تركيب ""قواعد لباد"" (Felt pads) أسفل الرجل القصيرة أو صندفرة الرجل الطويلة بحرص"
تزييق السرير: السرير بيعمل صوت تزييق أو كركبة مع أي حركة,السرير,"تربيط العوارض والعزل: شد كل الصواميل والمسامير في زوايا السرير. وضع شمع أو شريط لباد (Felt tape) بين ""ملل السرير"" والخشب الرئيسي لمنع احتكاك الخشب ببعضه"
انكسار أو انحناء ملل السرير: ألواح الخشب تحت المرتبة بتتثنى أو تتكسر.,السرير, تغيير الألواح المكسورة بخشب زان أو سويد قوي، وتركيب رجل دعم إضافية في منتصف السرير لتوزيع الوزن.
الرف بيميل أو ينحني للأسفل من النص بسبب الأحمال الثقيلة.,الأرفف ووحدات الحائط,تقوية الرف أو قلبه: قلب الرف على الوش التاني، أو تركيب شريط خشبي/زاوية ألومنيوم تحت الحافة الأمامية للرف لزيادة صلابته
صعوبة فتح سحارة السرير أو عدم ثباتها مفتوحة.,سحارات التخزين,تزييت مفصلات الميكانيزم، وإذا استمر السرير في الهبوط يُفضل استبدال مساعدين الهيدروليك (الكباسات) بأخرى جديدة.
تفكك أو انفصال الوزرة الخشبية: وزرة الخشب (السكلو) بتسيب الحيطة وبتعمل فراغ.,الوزرات والبانوهات,حقن معجون تركيب (مثل Liquid Nails) خلف الفراغ، وضغط الوزرة ثم تثبيتها بمسامير شك صغيرة بدون رأس.
وجود خدوش أو حفر صغيرة في الأثاث الخشبي,الخدوش والتلفيات العامة,استخدام أقلام شمع إصلاح الخشب بنفس اللون للخدوش البسيطة، أو ملء النقرات العميقة بمعجون خشب، ثم صنفرتها ودهانها.
سقوط قاع الدرج,الادراج,إعادة إدخال اللوح في المجرى، وتثبيته بمسامير شك صغيرة مع الغراء من الأسفل، أو تركيب زاويتين معدنيتين صغار (L-Brackets) في القاع من تحت لرفعه وتدعيمه.
انفصال وش الدرج (الواجهة): المقبض أو الواجهة الخشبية بتسيب جسم الدرج الداخلي لما تشده,الادراج,فك المقبض، وتنظيف الغراء القديم، ثم وضع غراء خشب حديث وتثبيت الواجهة بمسامير سن صاج طوال تُربط من جوة الدرج لبرة عشان متظهرش.
المقبض بيلف ومبيمسكش كويس: مسمار المقبض (الكرة أو المقبض) اتوسع مكان مسماره وبقى بيلف في الفراغ,الادراج,"تركيب ""وردة معدنية"" (Washer) تحت المسمار من الداخل لتوسيع مساحة الضغط، أو حشو خرم المقبض بعود خشب وغراء قبل إعادة ربط المسمار"
خروج الدرج عن المجرى (تراكات): الدرج بيقع من جنبه أو بيميل وهو بيتقفل.,الادراج,التأكد إن مسامير المجرى المعدني (الرولمان بلي) مربوطة كويس ومش مفكوكة. لو المجرى متني أو رولمان بلي بتاعه وقع، لازم المجرى يتغير بالكامل بطقم جديد نفس المقاس
صعوبة فتح الدرج بدون مجرى معدني (المجرى الخشبي القديم): الدرج بيحك وبيمسك في جسم الدولاب/الكومودينو,الادراج,صنفرة الجوانب والمجرى الخشبي لإزالة أي بروز، ثم مسح المجرى بقطعة شمع إضاءة أو صابون جاف لتقليل الاحتكاك وتسهيل الحركة جداً.
انتفاخ وتمدد الخشب من المية (خاصة تحت الحوض وفي المطبخ): الخشب المضغوط (MDF أو MFB) بيشرب مية وبيفرك أو ينتفخ.,المطابخ والحمامات(الرطوبة),كشط الجزء المنتفخ الميت بالصنفرة أو السكينة، ثم دهان المنطقة بـ سيلر شفاف أو بولي يوريثان (PU) لحمايته من المية، أو تركيب لوح ألومنيوم/استانلس في أرضية كابينة الحوض
تآكل/سقوط كعب المطبخ أو الأرجل: أرجل المطابخ الخشبية بتعفن أو بتتأكل بسبب مية المسح.,المطابخ والحمامات(الرطوبة),تركيب أرجل بلاستيك/ألومنيوم: فك الأرجل الخشبية واستبدالها بـ أرجل مطبخ استعدال بلاستيك مقوى أو ألومنيوم مع وزرة بلاستيك بجلدة منع تسريب المية.
الفواصل والفراغات بين الخشب والحيطة (البرور والبانوهات): بتسيب مسافة وبيبقى شكلها وحش وتجمع حشرات أو تراب.,الأثاث والتقفيلات,"معجون أكرليك (Acrylic Sealant / Mastik): ملء الفواصل بمادة ""الأكرليك فوم/ماستيك"" (مش سيليكون عادي عشان ينفع يترش أو يدهن فوقه بنفس لون الحيطة أو الخشب)."
تفكك طاط/قشرة الخشب (MDF/Formica): قشرة الفورمايكا أو الشريط البلاستيك (PVC) بتاع أطراف الترابيزات أو الأدراج بيفك,الأثاث والتقفيلات,كوي بالغراء أو كليبر: وضع نقط غراء أو كولا سريعة (سوبر جلو)، ثم استخدام مكواة ملابس دافية فوق قطعة قماش لكوي القشرة ضغطاً لتلتحق بالخشب من جديد.
