problem,category,solution
الباب الحديد بيزيّق أو حركة المفصلات تقيلة ومحشورة.,الأبواب والبوابات,رش WD-40 أو حط نقط زيت موتور/شحم على رأس المفصلة وفتحاتها وحرّك الباب رايح جاي.
الباب بيمسك في الأرض أو الإطار (حكة بسيطة) بسبب الصدأ.,الأبواب والبوابات,استخدم صنفرة حديد خشونة (80 أو 100) وصنفر الحافة اللي بتحك لحد ما تروح الحكة، ورش مكانها سبراي لمنع الصدأ.
الكالون أو القفل الحديد معصلج ومفتاحه مش بيلف بسهولة.,الأبواب والبوابات,بلاش زيت! حط بودرة جرافيت (سن قلم رصاص افركه) جوه فتحة المفتاح ورش WD-40 على اللسان الخارجي.
عايز تثبت رززة أو قفل جديد من غير لحام.,الأمان والحماية,استخدم دريل (شنيور) وبنطة حديد، واعمل خرمين وركب الرززة باستخدام مسامير برشام (Pop Rivets) أو مسامير بصامولة مع وردة.
قفص التكييف أو التندة مهزوزة من الحيطة.,التظليل والتغطية,استخدم شنيور وبنطة خرسانة، وغير الفيشارات القديمة بـ خوابير حديد (Anchor Bolts / أوشار) وربطها بمفتاح بلدي.
السور أو الدرابزين مقشر شكله وحش وبدأ يصدي,السلالم والدرابزين,حك الصدأ بـ فرشة سلك، بعدين صنفرة، وادهن وش سيلر/سلاقون (مضاد صدء) وبعد ما ينشف ادهن لاكيه بالنصافة.
رجلي ترابيزة أو كرسي حديد بتعمل صوت/بتجرح السيراميك.,صيانة الأثاث,اشري كواتشات/طبات بلاستيك (كعوب) بمقاس قطر الماسورة ودخلها في الرجل بالضغط أو دقة خفيفة بشكوش.
مسمار أو مفصلة حديد لف مع السن (فوّت) أو صدّي ومدايقك,صيانة الأثاث,استخدم سبراي مزيل صدأ وسيبه 5 دقائق، ولو المسمار ملوش راس تمسكها استخدم بنسة جريب (Plier lock) عشان تلفه.
المفتاح ضاع، الكالون بيعلق، أو عايزة تغيري المفاتيح لأمان أكتر.,تغيير كالون,فكي المسمار الطويل اللي في جنب الباب (تحت لسان الكالون). وحطي المفتاح في القلب ولفيه سنة بسيطة واسحبي القلب بره. واشتري قلب نفس المقاس وركبيه وربطي المسمار تاني
الكالون نفسه اتكسر أو عايزة تجددي الشكل بالكامل.,تغيير كالون,1. فكي أكرة الباب والوشوش الجانبية بـ مفك صليبة. 2. فكي المسمارين اللي ماسكين جسم الكالون من جنب الباب وطلّعيه. 3. هاتي كالون جديد بنفس المقاس بالظبط وركبيه مكان القديم وربطي المسامير.
