problem,category,solution
الغسالة لا تعصر (انسداد الفلتر),LG,تنظيف فلتر الغسالة بانتظام والتأكد من عدم انسداد خرطوم تصريف المياه
ظهور رمز عطل LE (مشكلة في المحرك أو حساس الدوران),LG,تقليل الحمولة عن الحد المسموح وفحص حساس الدوران (Hall Sensor) واستبداله عند التلف
اهتزاز شديد للحلة أثناء الغسيل أو العصر,LG,توزيع الملابس داخل الحلة بالتساوي والتأكد من تسوية الغسالة على الأرض جيدًا
توقف مفاجئ في برنامج الغسيل,LG,فصل الغسالة عن الكهرباء لمدة دقيقة ثم إعادة تشغيلها (إعادة ضبط)، فقد يكون السبب خلل مؤقت في المستشعرات
أعطال بوردة (لوحة) التحكم الإلكترونية,LG,فحص الدوائر الإلكترونية واستبدال البوردة التالفة بواسطة فني متخصص باستخدام قطع غيار أصلية
ظهور رموز أعطال E1 / E2 / E3 (مشاكل تصريف أو حماية من التسرب),LG,فحص طلمبة (مضخة) التصريف والصمامات وتنظيف أو استبدال القطع التالفة
عدم دوران حلة الغسالة,LG,تقليل الحمولة الزائدة وفحص سير (حزام) المحرك واستبداله عند التآكل
سقوط حلة الغسالة (في الموديلات فوق أوتوماتيك),LG,تجنب التحميل الزائد المتكرر بالملابس، وفحص واستبدال المساعد (الجزء المثبت للحلة) عند تلفه
ظهور رمز عطل E5 (مشكلة في إمدادات المياه),LG,التأكد من فتح الحنفية بالكامل، وفحص ضغط المياه وخرطوم التغذية من الانسداد
الغسالة لا تسحب الماء,LG,فحص وتنظيف صمام سحب الماء والفلتر وخرطوم التغذية من أي انسداد
تسرب المياه من الغسالة,LG,فحص وتنظيف خراطيم التغذية والتصريف والتأكد من إحكام تركيب الوصلات
ظهور رموز أعطال 4E / 4C / 4C1 (مشكلة في إمداد المياه),LG,فحص صمام دخول المياه والتأكد من ضغط مياه التغذية وسلامة الخرطوم
الغسالة لا تعصر,LG,تنظيف فلتر الغسالة بانتظام من الوبر والشوائب والعملات المعدنية التي تسبب انسدادًا
توقف الغسالة فجأة أثناء دورة الغسيل,LG,فحص فلتر التصريف أولًا، ثم لوحة التحكم الإلكترونية والموتور إذا استمر العطل
أصوات غريبة أثناء التشغيل,LG,فحص الحلة للتأكد من عدم وجود أجسام غريبة (عملات، أزرار)، وفحص الأجزاء الميكانيكية المتآكلة
ظهور رمز عطل E3 (مشكلة تصريف أو عدم توازن الحمولة),LG,فحص وتنظيف خرطوم التصريف من الانسداد وإعادة توزيع الحمولة داخل الحلة بالتساوي
ظهور رمز عطل E0 (الغطاء العلوي غير مغلق بإحكام),LG,التأكد من غلق باب/غطاء الغسالة بإحكام قبل بدء التشغيل
صوت خبط أو نحر أثناء العصر,LG,فحص واستبدال رولمان (بلي) الحلة أو الصليبة التالفة بواسطة فني متخصص
ظهور رموز F01 / F02 / F12 / F18 (أعطال المحرك أو اللوحة الإلكترونية),LG,عدم محاولة الإصلاح يدويًا لتجنب تلف البوردة، والتواصل مع فني متخصص لفحصها
الغسالة لا تعمل نهائيًا عند التشغيل,LG,التأكد من توصيلات الكهرباء والمقبس، وفحص مفتاح الغطاء (Lid Switch) والمؤقت
أصوات طنين ودق وطحن أثناء الغسيل والعصر,LG,فحص محامل (بلي) الحوض؛ حيث يشير تلف الحشية المانعة لتسرب الماء إلى الحاجة لاستبدال المحامل
ظهور رمز عطل F27 (مشكلة في مستشعر ضغط المحرك),LG,فحص أسلاك محرك الغسالة وصيانة لوحة التحكم الخاصة ببرامج ودورات الغسيل
ظهور رمز عطل F3E1 (انسداد في أحد أجزاء الغسالة),LG,فحص مستشعر التشغيل (الضغط) والتأكد من عدم وجود انسداد في مسار المياه
