problem,category,solution
ضعف التبريد داخل الكابينة والأرفف,زانوسي,فحص الثرموستات والتأكد من سلامته، وتنظيف مواسير التبريد والمكثف من الأتربة، وضبط درجة الحرارة بين 2-5 مئوية
صوت عالي وضوضاء أثناء التشغيل,زانوسي,إصلاح مواسير الفريون وإعادتها لوضعها الصحيح، غالباً ما يحدث بسبب نقل الثلاجة أو اهتزاز المكثف
تسرب مياه داخل أو أسفل الثلاجة,زانوسي,تنظيف مجرى تصريف المياه من الثلج والرواسب، والتأكد من عدم انسداد الأنابيب
الثلاجة لا تبرد والفريزر لا يجمد,زانوسي,فحص الضاغط (الكمبروسر) والفريون والثرموستات، والتأكد من عدم وجود تسريب غاز
تراكم الثلج داخل كابينة الفريزر,زانوسي,فصل الثلاجة لإذابة الثلج، فحص حساس النوفروست والمروحة الداخلية
تراكم الثلج بكثرة في الفريزر,شارب,التأكد من إغلاق باب الفريزر بإحكام، وفحص الكاوتشوك (الجوان) المحيط بالباب
موتور الثلاجة يعمل بشكل مستمر بدون توقف,شارب,تنظيف لفائف المكثف من الأتربة بعد فصل الثلاجة عن الكهرباء
عدم وجود تبريد في الثلاجات النوفروست,شارب,فحص الثرموستات المسؤول عن التبريد وتغييره إذا لزم الأمر
ظهور كود خطأ E1 على الشاشة,شارب,يشير إلى خلل في حساس الفريزر، يجب قياس مقاومة الحساس واستبداله بقطعة أصلية
ظهور كود خطأ HC على الشاشة,شارب,قد يكون بسبب تسريب بسيط في الفريون أو انسداد في الفلتر، يتطلب فحص فني دقيق
الجزء السفلي (الثلاجة) لا يبرد بينما الفريزر يعمل بشكل طبيعي,توشيبا,التأكد من عدم انسداد فتحات التهوية الناقلة للهواء من الفريزر بسبب تراكم الثلج أو وضع الطعام أمامها
زيادة التبريد وتشكل الثلج على الأطعمة,توشيبا,ضبط منظم الحرارة (الثرموستات) وتجنب فتح الباب لفترات طويلة
توقف الموتور (الكومبريسور) عن العمل,توشيبا,فحص مجموعة التشغيل (الريلاي)، وفي الحالات المعقدة فحص ملفات الموتور نفسها
سخونة جوانب الثلاجة,توشيبا,ظاهرة طبيعية بسبب مرور مواسير المكثف بالجوانب لمنع الرطوبة، ولا تستدعي القلق
تراكم رواسب على فتحات الكوندنسر,توشيبا,فصل الثلاجة عن الكهرباء وتنظيف الفتحات بقطعة قماش جافة بشكل دوري
الثلاجة لا تبرد والفريزر لا يجمد,LG,فحص الضاغط الخطي (Linear Compressor)، والتأكد من استماع صوت تشغيله دون تبريد فعلي كمؤشر على تلفه
ضعف التبريد المفاجئ,LG,التحقق من ضبط درجة الحرارة، وتحسين التهوية حول الجهاز، والتأكد من عدم انقطاع الكهرباء المتكرر
فصل الكهرباء أثناء التشغيل (موديلات إنفرتر),LG,فحص كارت التحكم (البوردة) والضاغط الإنفرتر، يتطلب غالباً فني متخصص
رمشة واحدة في لمبة الفريزر بدون شاشة,LG,تشير إلى مشكلة في حساس الفريزر أو حساس الكابينة أو الدمبر (موزع الهواء)
ظهور رموز تشخيصية على الشاشة,LG,استخدام تطبيق LG ThinQ لقراءة الكود التشخيصي وتحديد سبب المشكلة بدقة قبل التواصل مع الصيانة
ضعف تبريد الثلاجة,زانوسي,"انخفاض كفاءة دورة التبريد.
انسداد مجرى الهواء داخل الثلاجة.
تلف مروحة توزيع الهواء.
مشكلة في الترموستات.
تسريب في دائرة التبريد.
اتساخ المكثف الخلفي."
