problem,category,solution
تسريب مياه من المواسير بسبب تآكل أو صدأ المواسير القديمة,مواسير,استبدال المواسير القديمة بأخرى حديثة مقاومة للصدأ
ارتفاع غير مبرر في فاتورة المياه يشير لوجود تسريب خفي في الشبكة,مواسير,استخدام أجهزة كشف تسرب متخصصة لتحديد مكان التسريب دون تكسير
انخفاض ضغط المياه في كل الحنفيات في نفس الوقت,مواسير,فحص المواسير الرئيسية، أو التواصل مع شركة المياه للتأكد من سلامة الشبكة العامة
تكون ثقب في ماسورة أو خزان يسبب تسريب مستمر,مواسير,تحديد مكان الثقب بدقة ولحامه أو استبدال الجزء التالف من الماسورة
تسريب من الحنفية بسبب تلف الحلقات المطاطية أو تشقق ساق الصنبور,حمامات,استبدال الحلقات المطاطية أو الكارتردج الداخلي للحنفية
ضعف ضغط المياه في الدش أو الحنفية بسبب انسداد الرشاش بالرواسب الكلسية,حمامات,تنظيف رأس الدش أو الرشاش من الرواسب المتراكمة
تسريب مياه من قاعدة المرحاض (الكرسي),حمامات,فحص الجوان (الحلقة الشمعية) أسفل الكرسي واستبدالها إذا كانت تالفة
بطء تصريف حوض المطبخ بسبب انسداد جزئي بالدهون والرواسب,مطابخ,تنظيف المصرف بالمكبس أو صب ماء ساخن لإذابة الدهون المتراكمة
انسداد تام في بالوعة حوض المطبخ,مطابخ,استخدام سلك تسليك (أفعى) للوصول إلى الانسداد وإزالته
تسريب مياه من أسفل حوض الغسيل بسبب تلف السيفون,مطابخ,فحص السيفون (وصلة U) واستبداله عند التلف
تسريب مياه الصرف الصحي بسبب انسداد المواسير أو عدم تفريغ البيارة بانتظام,صرف صحي,تسليك مواسير الصرف بانتظام والتأكد من تفريغ البيارة دوريًا
روائح كريهة تنبعث من الصرف بسبب جفاف حلقة السيفون المائية أو تلف العزل,صرف صحي,صب ماء في المصارف غير المستخدمة بانتظام، وفحص عزل توصيلات الصرف
انسداد كامل في خط الصرف الرئيسي بالمنزل,صرف صحي,استخدام سلك تسليك ميكانيكي أو الاستعانة بشركة متخصصة في تسليك المجاري
