problem,category,solution
تقشير أو تنفيل الدهان (Peeling/Flaking): طبقة الدهان بتنفخ وتتكسر وتوقع على الأرض.,عيوب الدهان والرطوبة,"كشط الدهان المقشر بسكينة معجون حتى نصل للطبقة الثابتة، علاج سبب الرطوبة الأساسي، دهان وجه ""سيلر مائي/مقاوم للرطوبة""، ثم إعادة المعجون والدهان."
تزهير الحائط (Efflorescence): ظهور بودرة بيضاء أو أملاح على سطح الدهان.,عيوب الدهان والرطوبة,"تنظيف وعزل: حك الأملاح بفرشاة سلك جافة تماماً، مسح الحائط بخل مخفف/ماء، ترك الحائط يجف تماماً، ثم دهانه بـ ""سيلر ناري (زيتي)"" قبل المعجون والدهان."
بقع الرطوبة والعفن الأسود: ظهور بقع سوداء أو خضراء في زوايا الغرف والأسقف.,عيوب الدهان والرطوبة,"تعقيم وتطهير: رش المنطقة بـ (كلور + ماء) لقتل الفطريات، تركها تنشف، دهان ""سيلر مانع للبقع""، ثم استخدام دهان بلاستيك مقاوم للبكتيريا والفطريات (Anti-fungal)."
الشروخ الشعرية الدقيقة (Hairline Cracks): خطوط رفيعة جداً في دهان الحائط أو السقف.,الشروخ والتلفيات,معجون أكرليك: فتح الشرخ بسيط بسكينة المعجون، تنظيفه من التراب، ملئه بـ معجون أكرليك جاهز (معجون شرخ)، صنفرته بعد الجفاف، ثم التلقيط بالدهان.
الشروخ العميقة أو الفواصل بين الخرسانة والمباني: شرخ واسع ومستمر في الحائط.,الشروخ والتلفيات,"فتح الشرخ على شكل حرف V، تنظيفه، وضع ""معجون ممتاز + شريط شبك ألياف زجاجية (Fiberglass tape)"" فوق الشرخ، ثم التغطية بسكايتين معجون والصنفرة."
اصفرار دهان الأبواب أو الحوائط (Yellowing): الدهان الزيتي (اللاكيه) الأبيض بيقلب لأصفر مع الوقت.,تأثيرات الاستخدام والشكل,اللاكيه الزيتي بيصفر بسبب غياب الضوء؛ الحل صنفرة السطح ودهانه بـ دهان أكريليك مائي (Water-based Enamel) مش بيصفر مطلقاً.
بصمات وبقع سريعة الاتساخ: الحائط بيتوسخ بسهولة ودموع/بقع الأيدي مش بتطلع.,تأثيرات الاستخدام والشكل,دهان ناعم/قابليته للغسيل: الدهان المط (Matt) بيلم وسخ؛ الحل دهان وش أخير بـ بلاستيك نص لمعة (Semi-gloss) عالي الجودة قابل للغسيل بالماء والصابون.
تنوير أو ظهور خطوط الرولّة (Roller Marks): الدهان شكله مش مية واحدة وفيه خطوط فاتحة وغامقة.,تأثيرات الاستخدام والشكل,"تخفيف الدهان بالنسبة المكتوبة على العبوة بالظبط، واستخدام رولّة شعر قصير مع المحافظة على ""الحافة الابتلالية"" (عدم ترك الدهان ينشف أثناء الفرد)."
تفريض أو تسييل الدهان (Sags/Drips): الدهان مسيل نازل زي الدموع على الحيطة.,التجهيز وسوء التأسيس,ترك الدهان ينشف تماماً، صنفرة العالي بالصنفرة حتى يستوي بالسطح، ثم إعطاء وش خفيف جداً ومفرود صح.
المعجون بيطلع بودرة على الإيد أو الحيطة بتشف.,التجهيز وسوء التأسيس,"دهان السطح بـ ""سيلر مائي قوي"" لربط وتماسك طبقات المعجون الضغيفة قبل وضع الدهان النهائي"
ظهور فقاقيع هوائية تحت طبقة الدهان جديدة.,تفاعل الخامات,"بيبقى فيه رطوبة أو حبس هوا تحت الدهان (أو دهنتِ بلاستيك فوق زيت من غير تجهيز). الحل: فقع الفقاقيع، كشطها، تركها تجف، دهان ""سيلر زيتي""، ثم إعادة المعجون والدهان."
"الدهان القديم ""بيلف"" على الرولّة: وانتِ بتدهني وش جديد، الدهان القديم بيخلع ويلف مع الرولّة زي العجين.",تفاعل الخامات,تثبيت الدهان: السطح القديم معجون ضعيف أو شارب مية. الحل: وقف الدهان فوراً، ترك السطح ينشف، ثم دهان وش سيلر زيتي (ناري) لتثبيت كل الطبقات القديمة قبل إكمال النقاشة.
"ظهور ""بقع الزيت أو الرقش"" في خشب الأبواب: خشب الباب بيطلع بقع صفرا أو بيفرز زيوت بتظهر فوق دهان اللاكيه الأبيض",تأسيس الخشب,عزل العقد بالجمالكة: دهان عقد الخشب بـ جمالكة (Shellac) قبل أي معجون أو دهان؛ الجمالكة بتعمل طبقة عازلة بتمنع خروج زيوت الخشب للسطح.
تشرب وحرامية الدهان في الجبس بورد: بيوت النور والأسقف الجبس بتشف الدهان ومبتبقاش مستوية,تأسيس الخشب,"معجون معالجة الفواصل: استخدام ""معجون جبس بورد خاص (مثل ممتاز أو كيم بورد)"" مع شريط الفايبر للفواصل، ثم دهان السقف بالكامل وش سيلر مائي قبل الدهان النهائي لتوحيد الامتصاص"
تغير لون معجون التلقيط (Color Patching): بعد ما تدهني، بتلاقي أماكن التلقيط بالمعجون باينة ومبقعة عن باقي الحيطة,الجماليات واللمسات الأخيرة,تبطين مكان المعجون: مكان معجون التلقيط بيمتص الدهان أكتر من بقية الحيطة. الحل: دهان مكان المعجون وش بطانة خفيف الأول (Spot priming)، وبعدين دهان الحيطة كلها وش موحد.
تآكل ونقر زوايا الحوائط (أركان العمدان): زوايا الحوائط البارزة بتتكسر بسرعة مع خبطات العفش والكنب.,الجماليات واللمسات الأخيرة,"تركيب زوايا ستانلس أو بيكيه: تركيب زاوية معمارية (Corner Bead) شبك تحت المعجون أثناء التأسيس لحماية الزاوية، أو تركيب ""وزرة زاوية خشب/ستانلس"" ديكورية خارجية."
