problem,category,solution
التكييف لا يبرد / برودة ضعيفة,شارب,تنظيف فلاتر الهواء والمكثف الخارجي بانتظام، والتأكد من عدم انسداد فتحات التهوية
تسريب أو تنقيط المياه من الوحدة الداخلية,شارب,تنظيف خرطوم الصرف من الداخل لإزالة الانسداد الذي يسبب رجوع المياه للخارج
تجمع الثلج على المبخر (الزعانف),شارب,إيقاف التشغيل لإذابة الثلج، تنظيف الفلتر، والتأكد من توافق قدرة التكييف مع مساحة الغرفة
إضاءة اللمبة البرتقالي / كود عطل على الشاشة,شارب,الرجوع إلى جدول أكواد أعطال شارب لتحديد سبب العطل، وطلب فني إذا استمرت المشكلة
خلل في لوحة التحكم,شارب,"فحص لوحة التحكم فنيًا واستبدالها إذا لزم الأمر (تتراوح تكلفة الوحدة الجديدة من 18,000 إلى 20,500 جنيه حسب الموديل)"
ضعف التبريد أو انعدامه,كاريير,فحص مستوى الفريون وتنظيف الفلاتر والمكثف الخارجي، والتأكد من سلامة التيار الكهربائي الداخل للجهاز
تسريب مياه من الوحدة الداخلية,كاريير,فحص خرطوم الصرف وتنظيفه من الانسداد، وإزالة أي تراكم للثلج في المبخر يمنع تصريف المياه بشكل صحيح
أصوات غريبة أو مرتفعة أثناء التشغيل,كاريير,فحص المروحة للتأكد من دورانها بسلاسة، وفحص الضاغط (الكمبروسر) إذا كان مصدر الصوت اهتزازًا غير طبيعي
أعطال بسبب التيار الكهربائي,كاريير,التأكد من سلامة التوصيلات الكهربائية وأن شدة التيار الداخل للمنزل مناسبة لاحتياج المكيف
اللمبة الحمراء تضيء (تحذير عطل),كاريير,التوقف عن التشغيل فورًا والتواصل مع فني مؤهل لتحديد سبب الخلل ومعالجته
التكييف لا يستجيب / لا يعمل نهائيًا,LG,فحص انقطاع التيار الكهربائي أو ضعف الجهد، وفحص الفيوز أو القاطع الكهربائي الخاص بالجهاز
ضعف التبريد,LG,فحص أكواد الأعطال على الشاشة (مثل CH01 لحساس الحرارة الداخلي)، وتنظيف الفلاتر، وفحص مستوى الفريون
كود CH02 - عطل حساس حرارة المبخر,LG,فحص واستبدال حساس درجة حرارة المبخر عن طريق فني متخصص
كود CH05 - خطأ في الاتصال بين الوحدتين الداخلية والخارجية,LG,فحص كابل التوصيل بين الوحدتين وتأكيد سلامة التوصيلات
توقف الجهاز فجأة أثناء التشغيل (موديلات الانفرتر),LG,هذا إجراء حماية ذاتي غالبًا بسبب خلل بلوحة التحكم الإلكترونية أو عدم استقرار التيار الكهربائي، ويستدعي فحص فني
ضعف التبريد وارتفاع درجة حرارة الوحدة الخارجية,توشيبا,التأكد من تركيب الوحدة الخارجية في مكان جيد التهوية بعيدًا عن أشعة الشمس المباشرة
تراكم الثلج بشكل غير معتاد,توشيبا,تنظيف الفلاتر بانتظام لتحسين تدفق الهواء ومنع انسدادها، وفحص مستوى الفريون
انسداد فلاتر الهواء وتراجع كفاءة التبريد,توشيبا,تنظيف الفلاتر بشكل دوري (كل أسبوعين إلى شهر) حسب معدل الاستخدام
أعطال متكررة نتيجة إهمال الصيانة الدورية,توشيبا,إجراء صيانة دورية شاملة على يد فني معتمد، وتوفير قطع غيار أصلية عند الحاجة
كود العطل E1 على الشاشة,شارب,يشير لمشكلة في دائرة التحكم، يستلزم فحص اللوحة الكهربائية (الكارتة) بمعرفة فني
كود العطل E3 على الشاشة,شارب,يدل على عطل في حساس (مستشعر) درجة حرارة الهواء الخارجي، يتطلب فحص التوصيلات أو تغيير الحساس
كود العطل E4 على الشاشة,شارب,عطل في مروحة الوحدة الداخلية، يستلزم فحص موتور المروحة وتوصيلاته
كود العطل E6 على الشاشة,شارب,مشكلة في لوحة التحكم الرئيسية، غالبًا تستلزم استبدال الكارتة
كود العطل E1 (كونسيلد),كاريير,خطأ في الاتصال بين الوحدة الداخلية والخارجية، يستلزم فحص كابل التوصيل بين الوحدتين
كود العطل E2 (كونسيلد),كاريير,عطل في حساس حرارة الغرفة، يستلزم فحص الحساس وتوصيلاته
كود العطل E3 (كونسيلد),كاريير,عطل في حساس ملف (كويل) الوحدة الداخلية، يستلزم فحص الحساس
كود العطل E6 (كونسيلد),كاريير,عطل في حساس الوحدة الخارجية أو ضغط عالي بالنظام، يستلزم فحص فني متخصص للضاغط والدائرة
كود العطل E7 (كونسيلد),كاريير,عطل في الكارتة الإلكترونية أو الذاكرة، يستلزم فحص أو استبدال اللوحة الإلكترونية
ضعف التبريد أو انعدامه بسبب نقص الفريون,شارب,فحص دائرة التبريد بواسطة فني معتمد وإعادة شحن الفريون وسد أي تسريب
تراكم الأتربة على الفلاتر يقلل كفاءة التبريد,شارب,تنظيف الفلاتر بانتظام للحفاظ على تدفق الهواء
توقف الكمبروسر عن العمل فيتوقف التبريد تمامًا,شارب,فحص الكمبروسر واستبداله بقطعة أصلية عند التلف
تجمد الثلج على زعانف المبخر,شارب,إيقاف تشغيل الجهاز وتركه حتى يذوب الثلج ثم فحص سبب التجمد
تسريب مياه من الوحدة الداخلية بسبب انسداد خرطوم الصرف,شارب,تسليك خرطوم الصرف وتنظيفه جيدًا من الشوائب
صدور صوت عالي أو غريب أثناء التشغيل,شارب,فحص المروحة والمحرك وإصلاح أو استبدال الجزء التالف
ظهور أكواد أعطال مثل E0 (نقص غاز) أو E3/E4 (عطل مروحة) أو E6 (لوحة تحكم),شارب,قراءة كود العطل من الشاشة والرجوع لدليل الأكواد أو الاتصال بفني متخصص
التكييف لا يعمل نهائيًا بسبب انقطاع أو ضعف التيار الكهربائي,كاريير,التأكد من توصيل الفيشة والقاطع الكهربائي وسلامة مصدر الكهرباء
عطل في الكارتة الإلكترونية (البوردة) يوقف تشغيل الجهاز,كاريير,فحص الكارتة الإلكترونية واستبدالها بأخرى أصلية عند التلف
تسريب مياه من الوحدة الداخلية نتيجة انسداد خرطوم الصرف أو تجمد المبخر,كاريير,فحص وتنظيف خرطوم الصرف وإزالة الثلج المتراكم من المبخر
تعطل الكمبروسر فيتوقف التبريد تمامًا,كاريير,استبدال الكمبروسر بقطعة أصلية مضمونة من مركز صيانة معتمد
عدم دوران المروحة فلا ينتقل الهواء داخل أو خارج الغرفة,كاريير,فحص محرك المروحة والمكثف واستبدال الجزء المعطوب
صوت طقة عند محاولة التشغيل دون نجاح بسبب قطع في الدائرة أو تلف الفيوز,كاريير,فحص الدائرة الكهربائية والفيوز الداخلي واستبدال التالف
زيادة أعطال الصيف نتيجة التشغيل لساعات طويلة دون صيانة دورية,كاريير,إجراء صيانة وقائية دورية وتنظيف الفلاتر قبل بداية الصيف
التكييف لا يبرد بسبب اتساخ الفلاتر أو مشكلة في المروحة,إل جي,تنظيف الفلاتر والمبخر وفحص كفاءة عمل المروحة
التكييف لا يبرد بسبب عطل في الكارتة أو الترموستات,إل جي,اختبار اللوحة الإلكترونية والترموستات واستبدال التالف بقطع أصلية
التكييف لا يعمل نهائيًا بسبب انقطاع الكهرباء أو خلل في الدائرة الكهربائية,إل جي,فحص التوصيلات الكهربائية والقاطع وإصلاح الخلل
التكييف لا يستجيب للريموت بسبب خلل في لوحة التحكم,إل جي,فحص لوحة التحكم واستبدالها عند الحاجة
ظهور أكواد أعطال CH متبوعة بأرقام تشير لمشكلة داخلية,إل جي,قراءة كود العطل CH من دليل المستخدم وتحديد ما إذا كان الحل بسيط أو يحتاج فني
أعطال ميكانيكية تمنع التبريد كليًا,إل جي,فحص شامل للكمبروسر والمكثف بواسطة فني متخصص واستبدال القطع التالفة
ارتفاع درجة حرارة التكييف من الجوانب بسبب سوء التهوية حول الوحدة,توشيبا,التأكد من تركيب الوحدة الخارجية في مكان جيد التهوية
تراكم الثلوج بشكل غير معتاد على وحدة التكييف,توشيبا,إيقاف الجهاز لإذابة الثلج ثم فحص سبب التجمد مع فني الصيانة
ضعف التبريد نتيجة انسداد فتحات الهواء أو تراكم الأتربة,توشيبا,تنظيف فتحات الهواء والفلاتر بشكل دوري لضمان تدفق الهواء
