problem,category,solution
عطل مروحة الوحدة الخارجية (كود E3),شارب,تنظيف ريش المروحة من الأتربة وفحص الموتور، واستبداله عند التلف
عطل مروحة الوحدة الداخلية (كود E4),شارب,فحص موتور المروحة الداخلية وتنظيفه أو استبداله عند اللزوم
عطل في لوحة التحكم الإلكترونية (كود E6),شارب,فحص واختبار البوردة الإلكترونية واستبدالها عند التلف
خلل في مستشعرات الضغط (كود E10 / E11),شارب,فحص الحساسات وتوصيلاتها الكهربائية واستبدالها عند الحاجة
مشاكل في الكمبروسر أو دوائر التحكم فيه (أكواد F1/F2/F6/F7),شارب,فحص الكمبروسر ودوائر التحكم الكهربائية بواسطة فني متخصص
تراكم الأتربة على مسارات الهواء يقلل كفاءة التبريد,شارب,تنظيف الفلاتر ومسارات الهواء بشكل دوري
عطل مروحة الوحدة الداخلية (البلور) وتراكم الأتربة عليها بسرعة (صوت صفير وضعف دفع الهواء، كود E3),كاريير,تنظيف المروحة وإزالة الأتربة المتراكمة، وفحص الموتور واستبداله عند الحاجة
تلف الكاباستور (المكثف الكهربائي) نتيجة الحرارة العالية (صوت زنة للكباس بدون تبريد),كاريير,فحص الكاباستور واستبداله عند التلف
سقوط فازة في موديلات الفري ستاند ثلاثية الأوجه (380 فولت) نتيجة خلل في ترتيب الأسلاك,كاريير,فحص توصيلات الأسلاك الكهربائية وإعادة ترتيبها بشكل صحيح
توقف مروحة الوحدة الخارجية الكبيرة نتيجة تلف الكونتاكتور (المفتاح الكهربائي الداخلي),كاريير,فحص الكونتاكتور واستبداله عند التلف
توقف الجهاز كليًا نتيجة فصل كهرباء أو عطل في كابل أو خلل بسيط في الدائرة الكهربائية,كاريير,فحص التغذية الكهربائية والكابلات ولوحة التحكم بواسطة فني مختص
أصوات غريبة نتيجة تراكم أتربة أو وجود عائق في المروحة أو المكثف,كاريير,تنظيف الأجزاء الظاهرة، والفحص الفني إذا استمر الصوت
خطأ CH10 / E6 المرتبط بمروحة الوحدة الداخلية,LG,إزالة أي حطام أو تراكم ثلج حول المروحة الداخلية، وطلب فني إذا استمر العطل
خطأ CH67 / EF المرتبط بمروحة الوحدة الخارجية,LG,فحص وتنظيف مروحة الوحدة الخارجية أو استبدال الموتور عند التلف
كود CH93 يشير إلى خلل في توصيلات الاتصال بين الوحدتين الداخلية والخارجية,LG,فحص كابلات التوصيل بين الوحدتين وإصلاحها أو استبدالها
ضعف دوران المروحة الخارجية أو توقفها بعد دقائق نتيجة سخونة أو مشكلة كهربائية,LG,فحص موتور المروحة والمكثف الكهربائي (الكاباستور) واستبداله عند الضعف
كود CH04 يشير إلى مشكلة في تصريف المياه من الوحدة الداخلية,LG,فحص خرطوم الصرف وتنظيفه من أي انسداد
عطل السنسور (الحساس) الخاص بالجهاز يوقف التكييف فجأة,توشيبا,فحص الحساس واستبداله بحساس جديد
عطل الكونتاكتور (المفتاح الكهربائي),توشيبا,فحص الكونتاكتور واستبداله بواسطة فني متخصص
تعطل البوردة الإلكترونية (لوحة التحكم),توشيبا,الكشف على البوردة وتحديد مكان العيب، مع إصلاحها أو استبدالها
ارتفاع صوت مروحة المكثف أو ظهور صوت غريب بها,توشيبا,فحص مروحة المكثف وتشحيمها أو استبدالها عند التلف
