problem,category,solution
السخان لا يسخن الماء إطلاقاً,أريستون,فحص الفيوز وتغييره، أو فحص عنصر التسخين (الهيتر) واستبداله عند التلف
تذبذب درجة حرارة المياه (سخن/بارد),أريستون,ضبط الترموستات على الدرجة المناسبة، وفحصه واستبداله إذا كان تالفاً
السخان يفصل أثناء الاستخدام,أريستون,فحص حساس الحرارة ونظام الأمان الداخلي واستبدال التالف منهما
ضعف ضغط المياه أو تدفق غير منتظم,أريستون,تنظيف مصفاة دخول المياه دورياً لمنع انسداد الفلتر بالرواسب
تسريب مياه من السخان أو من صمام الأمان,أريستون,فحص صمام الأمان واستبداله، أو استبدال الخزان في حال تلفه من الداخل
تراكم الترسبات الكلسية على عنصر التسخين,توشيبا,غسيل دوري للسخان باستخدام محاليل معتمدة لإزالة الكلس لمنع تلف العنصر الحراري
ضعف ضغط الماء من رأس الدش (السخان الفوري),توشيبا,تنظيف رأس الدش دورياً لإزالة الترسبات المسببة لانسداد الثقوب
مشاكل الإشعال أو رائحة غاز (سخان الغاز),توشيبا,فحص وحدة الإشعال ومسار الغاز، والاستعانة بفني معتمد فوراً عند وجود رائحة غاز
المياه باردة أو لا تسخن نهائياً,توشيبا,فحص الهيتر والترموستات في السخان الكهربائي، أو الإشعال وضغط الغاز في سخان الغاز
السخان لا يسخن المياه نهائياً,وايت ويل,تغيير شمعات التسخين أو الترموستات التالفة بقطعة أصلية مع اختبار العزل الكهربائي قبل التشغيل
السخان يفصل فجأة بعد التشغيل,وايت ويل,فحص حساس الحرارة ونظام الأمان الداخلي واستبدال العطل
السخان لا يعمل عند فتح الماء,وايت ويل,تنظيف الفلاتر وتغيير حساس تدفق المياه إذا لزم الأمر
تسريب الماء من أسفل السخان,فريش,فحص الأجزاء الداخلية والخزان والصمامات واستبدال أي جزء تالف أو متآكل
ضعف كفاءة التسخين,فريش,فحص عنصر التسخين (الهيتر) والترموستات واستبدال التالف منهما
رائحة كريهة من الماء الساخن,فريش,تفريغ الخزان وتنظيفه دورياً من الرواسب والبكتيريا المتراكمة
صوت عالٍ أو طقطقة أثناء التسخين,عام (كل الماركات),تنظيف الخزان وإزالة الرواسب المتراكمة أسفل الخزان التي تحترق على عنصر التسخين
استهلاك زائد للكهرباء,عام (كل الماركات),فحص العزل الحراري للخزان واستبداله عند التلف، والتأكد من ملاءمة عنصر التسخين لحجم السخان
تغير رائحة الماء الساخن,عام (كل الماركات),تنظيف الخزان الداخلي وتعبئته بمحلول ماء وبيروكسيد الهيدروجين لمدة ساعتين ثم شطفه جيداً
