problem,category,solution
كاتل المياه (الكاتيل): مش بيكهرب ولا ينور، أو بيفصل قبل ما المية تغلي.,كاتيل,تنظيف التكلسات: اغلِ مية مع خل أو ملح ليمون ثم تنظيف النقط النحاس: فك القاعدة ونضّف نقط التلامس النحاس بفرشة أو صنفرة ناعمة لأن الكربون بيعزل الكهربا.
مكواة/مفرود الشعر (Hair Straightener): مش بتسخن أو السلك بيفصل لما تحركها.,مكواه شعر,1. إصلاح السلك: غالباً العطل في السلك المتحرك (360 درجة)، بتفك الجزء الخلفي وتقص الحتة اللي فيها قطع وتوصل السلك من جديد 2. الفيوز الحراري: لو مش بتسخن خالص، بتغير الحراري (Thermal Fuse) بيبقى جوه جسم المكواة.
سشوار الشعر: بيطلع هواء بس مش بيسخن، أو بيفصل سخونة بسرعة.,سشوار شعر,تنظيف المروحة: فك الشبكة الخلفية وشيل الشعر والأتربة المتجمعة على المروحة وعلى السلك الحلزوني (المقاومة) عشان الهواء يمر وما يفصلش أمان.
المكنسة بتعمل صوت عالي جداً زي الطيارة، أو صوت خبط جوه.,المكنسة الكهربائية,افصل الكهربا وافتح المكنسة ولف المروحة بإيدك، لو فيه حاجة محشورة شيلها ببنسة ولو الصوت زنة عالية والمروحة تقيلة، نقطتين زيت موتور أو شحم على نقط دوران رمان البلي على محرك الموتور وهيرجع ناعم تاني.
المكنسة بتشتغل 5 دقائق وتفصل لوحدها، وما ترضاش تشتغل غير لما تبرد.,المكنسة الكهربائية,سيبها تبرد نص ساعة، وفي الوقت ده نضف الفلاتر والخرطوم تماماً عشان الهواء يمر وينعش الموتور وما يسخنش تاني.
المكنسة مش بتشتغل خالص,المكنسة الكهربائية,فك الوش الخارجي واكشف على الجزء اللي السلك بيلف فيه جوه (البكرة)، غالباً النقط النحاسية الملمسة للكابل محتاجة تنظيف بصنفرة أو السلك مقطوع من عند الفيشة محتاج يتقص ويتوصل تاني واضغط على المفتاح وقيس التوصيل، أو غير المفتاح برخيص من عند الموان
الموتور شغال وصوته طبيعي بس الشفط معدوم,المكنسة الكهربائية,شغّل المكنسة ومشّي إيدك على طول الخرطوم، لو حسيت بهواء خارج لف عليه شريط لحام/شكرتون أو ركب شريط حراري و ارمي بيلية أو زلطة جوه الخرطوم، لو مانزلتش يبقى فيه سدد؛ تسلكه بعصاية مقشة و تأكد إن الكاوتشة الجلد المحيطة بمدخل الكيس جافة وسليمة وراكبة بمكانها تمام لضمان إحكام الشفط.
الموتور بيطلع شرار باين من الشباك أو ريحة شياط/حريق.,المكنسة الكهربائية,فك غطاء الموتور، هتلاقي قطعتين فحم سوداء متوصلة بسوستة على جانبي الموتور (الشربون) واسحبهم واشتري طقم شربون بنفس المقاس (بضعة جنيهات) وركبه مكان القديم.
تدوس على زرار لف السلك وما يرجعش، أو السلك معلق بره.,المكنسة الكهربائية,فك البكرة بحذر (لأن السوستة ممكن تنطر)، واعد لف السوستة على الترس الداخلي وثبت الطرف الأخير في مجراه
بتسخن بس الصفيحة بتلزق في الهدوم,المكواة العادية,نضف القاعدة بمعجون أسنان أو بيكربونات صودا وهيا دافية.
القلاية شغال فيها التايمر والشاشة بس مش بتطلع سخونة خالص، أو المروحة مش بتلف.,القلاية الهوائية (Air Fryer),فك الجزء العلوي، ونظف مروحة الهواء والسخان من الدهون المتراكمة باستخدام سترس/مذيب دهون وقماشة (مع الحرص على عدم وصوله للبوردة) ولو مش بتسخن خالص: غير الفيوز الحراري الملفوف بعازل أبيض جنب السخان.
التوست مش بينزل ويقفل، أو بيتحرق وما بيطلعش لوحده.,محمص التوست (Toaster),افتح الدرج السفلي واقلب الجهاز ونظف فتات العيش تماماً بفرشة جافة، ونظف النقط المغناطيسية بكحول.
شمعة مش بتنور، أو الدفاية فصلت خالص لما اتقلبت.,الدفاية الكهربائية,تأكد إن زرار الأمان اللي في قاعدة الدفاية بيتداس صح لما تتحط على الأرض وفك الظهر وغير الترملة (Connector) المحروقة الواصلة بالشمعة بـ ترملة نحاس جديدة وعزلها.
مضخة المياه (بتاعة الفلتر أو قارورة المية) مش شغالة أو صوتها شغّال ومفيش مية بتطلع.,فلتر المياه,"فك الوش البلاستيك للمضخة ونضف الترسبات البيضاء (الأملاح) بملح ليمون أو خل ولو الجلدة مقطوعة، بتتباع ""طقم إصلاح جلد مضخة"" بتبقى جلدة مطاط صغيرة بتركب مكان القديمة بترجع الشفط زي الفل"
